address;adm_district;city_district;lattitude;longitude
город Москва, улица Егора Абакумова, дом 9;Северо-восточный;Ярославский;55.8789964;37.7144617
город Москва, улица Талалихина, дом 2/1, корпус 1;Центральный;Таганский;55.7382978;37.6733369
город Москва, Абельмановская улица, дом 6;Центральный;Таганский;55.7355279;37.6695159
город Москва, Абрамцевская улица, дом 1;Северо-восточный;Лианозово;55.8926526;37.573036
город Москва, Абрамцевская улица, дом 9, корпус 1;Северо-восточный;Лианозово;55.9041256;37.572181
город Москва, Абрамцевская улица, дом 15, корпус 1;Северо-восточный;Лианозово;55.9067192;37.5715402
город Москва, переулок Сивцев Вражек, дом 6/2;Центральный;Арбат;55.7472995;37.5979653
город Москва, Авиамоторная улица, дом 8, строение 1;Юго-восточный;Лефортово;55.7548754;37.71555
город Москва, Авиамоторная улица, дом 8, строение 1;Юго-восточный;Лефортово;55.7548754;37.71555
город Москва, Авиамоторная улица, дом 8, строение 1;Юго-восточный;Лефортово;55.7548754;37.71555
город Москва, Авиамоторная улица, дом 47;Юго-восточный;Лефортово;55.7498347;37.7188719
город Москва, Авиамоторная улица, дом 49/1;Юго-восточный;Лефортово;55.748491;37.7196175
город Москва, Авиамоторная улица, дом 51;Юго-восточный;Лефортово;55.7462916;37.7210607
город Москва, улица Авиаторов, дом 14;Западный;Солнцево;55.6453166;37.3980907
город Москва, улица Авиаторов, дом 16;Западный;Солнцево;55.6452481;37.3994615
город Москва, улица Авиаторов, дом 18;Западный;Солнцево;55.6445907;37.4000561
город Москва, Азовская улица, дом 3;Юго-западный;Зюзино;55.6623965;37.605708
город Москва, Азовская улица, дом 4;Юго-западный;Зюзино;55.6604627;37.6020384
город Москва, Большая Академическая улица, дом 65;Северный;Коптево;55.8403923;37.5475279
город Москва, Филипповский переулок, дом 15/5;Центральный;Арбат;55.7506117;37.598639
город Москва, Алтайская улица, дом 33/7;Восточный;Гольяново;55.8208277;37.8330439
город Москва, Алтуфьевское шоссе, дом 14;Северо-восточный;Отрадное;55.8558097;37.5858389
город Москва, Алтуфьевское шоссе, дом 14;Северо-восточный;Отрадное;55.8558097;37.5858389
город Москва, Алтуфьевское шоссе, дом 42Б;Северо-восточный;Отрадное;55.872917;37.58909
город Москва, Алтуфьевское шоссе, дом 56;Северо-восточный;Алтуфьевский;55.8807744;37.5877789
город Москва, Алтуфьевское шоссе, дом 56;Северо-восточный;Алтуфьевский;55.8807744;37.5877789
город Москва, Алтуфьевское шоссе, дом 102Б;Северо-восточный;Бибирево;55.9042022;37.5913567
город Москва, улица Амундсена, дом 10;Северо-восточный;Свиблово;55.8530489;37.6572391
город Москва, Анадырский проезд, дом 55;Северо-восточный;Лосиноостровский;55.8781707;37.7051722
город Москва, Ангарская улица, дом 1, корпус 2;Северный;Западное Дегунино;55.8717929;37.5099618
город Москва, Ангарская улица, дом 39;Северный;Дмитровский;55.87919;37.524423
город Москва, проспект Андропова, дом 17, корпус 2;Южный;Нагатинский Затон;55.683317;37.6681513
город Москва, проспект Андропова, дом 26;Южный;Нагатино-Садовники;55.680798;37.6628214
город Москва, проспект Андропова, дом 30;Южный;Нагатино-Садовники;55.6791138;37.6624594
город Москва, проспект Андропова, дом 35А;Южный;Нагатинский Затон;55.6734895;37.6648106
город Москва, проспект Андропова, дом 38, корпус 2;Южный;Нагатино-Садовники;55.674395;37.6596995
город Москва, улица Арбат, дом 4, строение 1;Центральный;Арбат;55.7519271;37.5983563
город Москва, улица Арбат, дом 4, строение 1;Центральный;Арбат;55.7519271;37.5983563
город Москва, улица Арбат, дом 6/2;Центральный;Арбат;55.7518283;37.597564
город Москва, улица Арбат, дом 6/2;Центральный;Арбат;55.7518283;37.597564
город Москва, улица Арбат, дом 23, строение 1;Центральный;Арбат;55.7505052;37.5953612
город Москва, улица Арбат, дом 23, строение 1;Центральный;Арбат;55.7505052;37.5953612
город Москва, улица Арбат, дом 25/36;Центральный;Арбат;55.7500914;37.5946787
город Москва, улица Арбат, дом 25/36;Центральный;Арбат;55.7500914;37.5946787
город Москва, улица Арбат, дом 29;Центральный;Арбат;55.7499104;37.5936331
город Москва, улица Арбат, дом 29;Центральный;Арбат;55.7499104;37.5936331
город Москва, улица Арбат, дом 31;Центральный;Арбат;55.7496948;37.5929046
город Москва, улица Арбат, дом 32;Центральный;Арбат;55.7491758;37.5896651
город Москва, улица Арбат, дом 32;Центральный;Арбат;55.7491758;37.5896651
город Москва, улица Арбат, дом 36/2, строение 1;Центральный;Арбат;55.7487998;37.5888047
город Москва, улица Арбат, дом 36/2, строение 1;Центральный;Арбат;55.7487998;37.5888047
город Москва, улица Арбат, дом 36/2, строение 1;Центральный;Арбат;55.7487998;37.5888047
город Москва, улица Арбат, дом 36/2, строение 1;Центральный;Арбат;55.7487998;37.5888047
город Москва, улица Арбат, дом 45/24;Центральный;Арбат;55.7482511;37.5881686
город Москва, улица Арбат, дом 45/24;Центральный;Арбат;55.7482511;37.5881686
город Москва, улица Арбат, дом 47/23;Центральный;Арбат;55.7481572;37.587556
город Москва, улица Арбат, дом 47/23;Центральный;Арбат;55.7481572;37.587556
город Москва, улица Артамонова, дом 7;Западный;Фили-Давыдково;55.7191556;37.4593161
город Москва, Астраханский переулок, дом 1/15;Центральный;Мещанский;55.7774742;37.6398497
